Headline,Date,Section,Article
"Stake sale in Air India, Pawans Hans to be fast-tracked",9/3/2018,city,"HYDERABAD: Flying high on the 20% growth clocked by the Indian civil aviation industry over the past three years, the government is pulling out all the stops to put the sector on the fast track — be it the divestment of PSUs like Air India or Pawan Hans, aggressive expansion of aviation infrastructure or even sharper focus on skill development. The government will be inviting expressions of interest (EoIs) for stakesalein Air India and Pawan Hans “in the next couple of weeks”, said Union civil aviation secretary RN Choubey at the inaugural day of WINGS INDIA 2018, the biennial civil aviation and aerospace event that kicked off in Hyderabad on Thursday. On the government’s big play on regional connectivity or UDAN (Ude Desh Ka Aam Nagrik), he said it is going full steam ahead to spruce up airport infrastructure with Airports Authority of India (AAI) earmarking ?18,000 crore towards airport upgradation over the next four years. Choubey also expressed optimism that the amendment to the AAI Act will be moved in the current budget session. “We hope to move it in the current session and thereafter it is for the Parliament (to clear). If the matter is referredto a select committee, it may take a little longer. But if everything goes well, I think the amendment should happen in six months,” he said. Giving a sneak peek into the international version of UDAN — UDAN version 2.0 — Choubey said the government is keen on encouraging states to use the UDAN platform to offer international connectivity and urged them to take a cue from Assam which plans to start international UDAN flights to South East Asian countries by providing a subsidy of ?100 crore per year for the next three years. “State governments will have to provide subsidy. We will not be providing it from RC Fund,” he clarified. Outlining the government’s efforts to boost regional air connectivity, Choubey said much will hinge on oil prices remaining soft. He also admitted that the lack of land availability and land acqusition for creating airport infrastructure poses major hurdles. On the growing requirement of skilled manpower, he said the sector would require between 8,000 to 10,000 pilots in the next five to six years. "
Haryana technical education board to issue digital diplomas,9/3/2018,city,"CHANDIGARH: The Haryana State Board of Technical Education (HSBTE) is all set to issue digital diplomas and detailed mark certificates (DMCs) to its students from the current academic session 2017-18. A spokesman of the board said that an MoU has been signed with the Central Depository Services (India), a firm referred by the MHRD for utilizing the National Academic Depository (NAD) services. He said that the NAD is a 24x7 online store house of all academic awards like certificates, diplomas, degrees, DMCs, etc. duly digitized and lodged by academic institutions, boards and eligibility assessment bodies. The NAD not only ensures easy access and retrieval of an academic award but also validates and guarantees its authenticity and safe storage. It was further stated that these digital depositories would keep the academic awards in digital format and ensure data integrity. Only the student concerned is authorized to access academic awards in the digital mode, which could be a DMC or diploma certificate through the NAD online. He said that students of 182 polytechnics affiliated with the HSBTE and enrolled in the first-year diploma programmes would be covered initially. He further said the data of all other students would be gradually synchronized with the NAD. To log in for accessing an academic award, a student should either have the Aadhar number or NAD as the user identity, he added. According to board officials, the creation of a digital database will negate the possibility of fake or forged certificates and recruiters or verifying agencies who want to get the credentials of applicants verified from the board will be able to utilize NAD services for verification. "
Vigilance Bureau to probe cement factory land transfer to Mumbai builder,9/3/2018,city,"CHANDIGARH: In what may add to trouble of the previous Congress regime led by Bhupinder Singh Hooda, which is already facing several land-related scams, the Manohar Lal Khattar-led BJP government in Haryana has decided to conduct a vigilance probe into the transfer of around 122 acres belonging to Associated Cement Companies (ACC) cement factory to a Mumbai-based builder. “An FIR in the issue was registered by Haryana police after our government came into power. During the investigation some startling facts have emerged, and the state government has decided to get a probe conducted by the Haryana vigilance bureau,” education minister Ram Bilas Sharma told the state assembly on Thursday. The minister was responding a question raised by Kalka MLA Latika Sharma alleging land scam in the transfer of factory’s land to a Mumbai-based builder, in connivance of some higher ups or government officials during Hooda’s regime. Latika, along with Panchkula MLA Gian Chand Gupta, had demanded probe by CBI into the alleged scam. Speaking in the assembly, Latika had stated that as per the lease deed of the factory, the land could be used only for industrial purpose but during the previous government’s tenure, it was transferred to a Mumbai-based builder for the purpose of developing a township. When Latika alleged some land scam in the entire issue connected to the Congress , some of the opposition party legislators strongly objected to it. On this, minister Sharma, who was responding to the question, said Haryana Police had got some very “strong material” regarding the alleged irregularities in the entire issue and the government had decided to get the matter probed by the state vigilance bureau. The cement factory — Bhupendra Cement Works, which had the distinction of having supplied cement for Bhakra Dam construction — was established at Surajpur near Pinjore by the Patiala Cement Company of the ruler of erstwhile Patiala princely state in 1937. The factory later became a part of the ACC that continued its operations till 1997, when it was closed due to environmental concerns. Around 615 workers, however, were allegedly denied around Rs 40 crore closure settlement amount by the company. According to the factory workers union, around 122 acre lands worth around Rs 2,000 crore was sold on payment of Rs 197 crore in 2007 to a Mumbai-based renowned builder in contravention to the lease deed of the land executed in 1937. On December 16, 2014, a complaint was given to Prime Minister Narendra Modi by the factory workers association for a CBI probe into the entire issue. Finally, on October 17, 2017, Pinjore police had registered a case for cheating, criminal conspiracy, breach of trust and other similar sections in relation to the allegations on the basis of a complaint received from Beni Prasad, president of the workers union and others. The matter was pending for investigation till date. "
4-day automotive event kicks off today at IIT Ropar,9/3/2018,city,"ROPAR: The four-day Mahindra Baja SAE India event will underway at the Indian Institute of Technology (IIT), Ropar where around 60 teams and 1,500 engineering students from across the country have reached to participate. The registration of teams and meeting of the judges for the event was done on Thursday. The event will be inaugurated on Friday. The four-hour racing event of four-wheeled all-terrain vehicles (ATVs) will be flagged off on March 11 by Punjab cabinet minister Navjot Singh Sidhu. The racing event would be an excitement where the vehicles are subjected to severe endurance racing track covering 4.8 km per lap. The marks will be calculated with vehicles crossing the hurdles including jumps, banks, hilly area, tunnel, muddy patch, sandpit, sharp turns, slope, speed breakers, watery area, rocky area, an area with wooden logs, and others on the Endurance racing track. The winning team of the event will be awarded Rs 2.5 lakh followed by Rs 1.5 lakh for the first runner-up and Rs 1 lakh for the second runner-up. The awards are divided into are the static, dynamic, and endurance event categories. Volvo India is extending its support to the event. The authorities at IIT Ropar claimed that proper medical arrangements have been made after tying up with the doctors and paramedical staff from Ropar and Mohali districts. The dignitaries present at the occasion claimed that event was planned in the IIT Ropar as it has a good space whereas in the earlier events space remained a major hurdle. Before this the event was held at Pithampur near Indore, Madhya Pradesh in January this year on the National Automotive Test Tracks (NATRAX). Ahead of the start of this event, IIT Ropar director S Das said the event was aimed at helping IITians to enhance their dexterity in formulating new technologies. It is for the first time that such an event is being held in this part of the country. Punjab technical educational and industrial training minister Charanjit Singh Channi will be the chief guest at the opening ceremony along with Pawan Goenka, managing director of Mahindra and Mahindra Limited.. "
German software giant paid $11m to cos linked to Guptas,9/3/2018,city,"SAP SE said it paid 128.6 million rand ($11 million) to companies linked to South Africa’s Gupta family, which is headed by three brothers accused of using their friendship with former President Jacob Zuma to defraud state-owned entities. The findings represent the first time that an international company has given details on specific payments made to Gupta entities. Other global businesses to become embroiled in the corruption allegations include US consultancy McKinsey & Co. Inc., which said last year it had made “several errors of judgment” while working for state utility Eskom Holdings SOC Ltd., and KPMG LLP, which audited Gupta companies and has said the work fell below its usual standards. SAP said a probe by law firm Baker McKenzie found that the German software giant made the payments to third parties as commissions on contracts with Eskom and ports and rail operator Transnet SOC Ltd. Three senior executives who were suspended last year have now quit and the Walldorf-based company is cooperating with ongoing investigations by US and South African authorities. SAP said last year it’s being probed by the US Department of justice and the US Securities and Exchange Commission over how it won contracts with South African state businesses. The Guptas, who are in business with one of Zuma’s sons, are accused of using their political connections to win contracts and influence ministerial appointments. They and the Zumas deny wrongdoing. "
AAP holds protest against Faridkot ADC over spat with its MLA,9/3/2018,city,"BATHINDA: The Aam Aadmi Party (AAP) members on Thursday held a protest outside the Faridkot deputy commissioner’s office against the additional DC’s alleged challenging the authority of its MLA Kultar Singh Sandhwan who represents Kotkapura constituency. Three AAP MLAs sat on protest against ADC Keshav Hingonia who had a spat with MLA Sandhwan on Wednesday. According to reports, the MLA had gone to hand over a memorandum against irregularities in implementation of Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS). The AAP announced to raise the matter in the state assembly during the upcoming budget session and also submit a complaint to the privileges committee of the assembly. Apart from Sandhwan, Punjab AAP co-president and Sunam MLA Aman Arora, Jaito MLA Baldev Singh, party office-bearers and activists participated in the protest and raised slogans against the ADC and the state government. Arora said, “The raw treatment meted out to our MLA will not be tolerated. The officers must behave in a dignified manner. The insult to public representatives at the hands of the officials is highly regrettable and officials need to change their mindset.” Meanwhile, the DC office employees’ union president Gurnam Singh said the ADC was attending a meeting and the MLA barged in without any information. “He raised his voice unnecessarily and insulted the officer. We demand action against the MLA by March 9 or we will hold meeting on March 10 to decide the next course of action,” he alleged. "
SAD MP says ‘main party’ has to do more over TDP pullout,9/3/2018,city,"Jalandhar: No ally in a coalition should be allowed to leave and the main party has to walk more than half the way. This was stated by Shiromani Akali Dal (SAD) leader and Rajya Sabha MP Naresh Gujral in reaction to the Telugu Desam Party’s (TDP) decision to pull out its two ministers from the Narendra Modi-led NDA government. Speaking to the TOI on Thursday, Gujral said efforts should be made to keep the alliance of the NDA partners intact in the national interest. Gujral had played a very crucial role in bringing the TDP back to the NDA fold in 2014 and the senior BJP leaders and TDP chief Chandrababu Naidu had announced the alliance in his presence in April 2014 in Hyderabad. He was the main negotiator between the two parties over seat sharing, and after several rounds of negotiations with both sites, he managed to stitch the alliance. “The TDP has certain demands which right now they feel that Centre is not meeting. It is unfortunate that they are withdrawing but at the same time they are still part of the NDA so doors are not permanently shut and that is a good thing as this leaves room for developing an understanding in future,” he said. “A coalition partner should never be allowed to go away. The main party has to walk more than half the way,” he said while adding, “we are still trying that they stay with the NDA in future”. “Andhra CM Naidu has his own compulsions and at the same time Union government is bound by the Finance Commission recommendation that it can’t give special status to any state other than those specified by the Commission. The cabinet can’t go against those recommendations and finance minister Arun Jaitley has said he is ready to help the state but can’t give special status. We hope some way out would be found as keeping the alliance intact is in national interest,” he said. Earlier in the first week of February, Gujral, while speaking to TOI, had expressed unhappiness over the way BJP was running the coalition but had said that his party did not want to rock the boat. He had advocated “Vajpayee touch” for running the government while claiming that it would be a coalition government in 2019 as well. "
"In blow to Congress, legendary JB’s son-in-law joins BJD",9/3/2018,city,"BHUBANESWAR: In a fresh blow to Congress in Odisha, former chief minister JB Patnaik’s son-in-law, Soumya Ranjan Patnaik, joined Biju Janata Dal (BJD) on Wednesday. Though the media magnate had moved out of Congress in 2013 to lead a little-known regional outfit called Aama Odisha, this was perceived to be nothing more than a stop-gap arrangement till his family — considered Congress’s first family in the state — returned to its former glory in the party’s scheme of things. Soumya had adopted a strong anti-BJD line all these years. Soumya, who was elected to the Lok Sabha from Bhubaneswar in 1996, was expelled by Congress for anti-party activities. His brother, Niranjan, was also removed as the president of Odisha PCC. "
Heavy traffic: Near-miss at Jaipur airport,9/3/2018,city,"NEW DELHI: India’s cramped airport infrastructure has begun putting massive pressure on personnel entrusted with the task of safely handling the growing volume of flights. On Sunday, a private charter (with only the crew) approaching to land at Jaipur had to do a last-minute go-around as a Delhi-bound Jet Airways plane with 70 passengers had entered the runway. The charter plane landed safely on the second attempt. An Airports Authority of India spokesman said the incident has been reported to the DGCA. Aviation officials say airport infrastructure has not kept pace with the growth of air traffic in India. “With the same number of runways and other infrastructure, we are handling a much higher volume of traffic. Our personnel are under tremendous pressure,” said an airport official. "
Karanbir scored 10 CGPA in Class X,9/3/2018,city,"MOHALI: A topper in his school, Karanbir Singh was a brilliant student and scored 10 CGPA in Class X. Gurkiranjit Kaur, principal of Shivalik Public School, Mohali, where Karanbir studied, said he was quiet, well-mannered and intelligent. Recalling his school days in the school, the teachers said they remember Karanbir being brilliant in studies and always a topper in every subject. Born in December 2000, Karanbir joined Shivalik Public School in Class VII in 2011 and completed his matriculation in 2015-16, informed Gurkiranjit Kaur. Karanbir’s class teacher, who did not wish to be named, said, “I remember Karanbir. He was one of those good-natured and intelligent students who always topped in every subject. Physics and mathematics were his favorite subjects. It is shocking that he will end his life in such a manner. We never found him weak.” During the results of Class X, various newspapers carried the photograph of Karanbir along with others as top achievers who scored 10-CGPA. Remembering the day, teachers said the school had also displayed news cuttings on the notice board of the school under outstanding achievers’ category. The school management also said all the toppers, including Karanbir, were also honoured for their achievement. School director D S Bedi said Karanbir’s suicide came as shocking news to him. He said, “Parents must give more time to their children. They must talk to them as much as they can, so that parents can read the mind of their child and also must counsel them if needed. The exam days are most crucial and we have been reading news of children committing suicides due to examination pressure.” Another teacher, who didn’t wish to be named, said parents must spend time with their children. “In my long career as a teacher, I have seen brilliant students straying from their paths, some getting into bad habits and others taking drastic steps. I think parents must talk to their kids and never leave them alone. Parents must know what their children are going through and stand with them especially in their adolescence.” "
"Haryana, UP officials to discuss irrigation issues: CM Manohar Lal Khattar",9/3/2018,city,"CHANDIGARH: Haryana chief minister Manohar Lal Khattar has said that a meeting would be held between Haryana and Uttar Pradesh officials next month to resolve various issues concerning irrigation. Replying to the debate on the governor’s address on the fourth day of the budget session of the Haryana assembly on Thursday, he said the demand would be raised at the meeting for giving control of part of the Agra Canal, which fell in Haryana, for the purpose of cleanliness so that the farmers could get their allocated share of water from the canal. About 100km stretch of the Agra canal falls in Haryana and the farmers in various parts of southern Haryana get water from various channels which emanate from the river. At present, Haryana has to take no objection certificate (NOC) from UP for cleaning the canal since its control rests with UP, the CM said. “During my visit to Barsana in UP recently, I had discussed with the UP CM Yogi Adityanath, various issues concerning inter-state border, law and order and irrigation. It was then principally decided that issues concerning both states would be mutually resolved,” CM said. In order to ensure that clean water flows in the Yamuna and all other rivers passing through the state, the central government has been requested to prepare a plan on the pattern of the ‘Namami Gange’ project implemented to clean and protect the Ganga. "
1.6km rail stolen. Kingpin in Pakistan?,9/3/2018,city,"BHOPAL: Over 1.6km of rail kept alongside railway tracks between Katni and Damoh railway stations has been stolen, leaving officials wondering how this heavy-duty theft was pulled off and why.  The stolen rails weigh over 100 tonnes - about the same as 100 compact sedans. What heightens the concern for security agencies is that the alleged kingpin, Shamim Kabadi, is suspected to have fled to Pakistan, and police can't figure out what anyone would do with track-grade steel. Melting and recasting rails is more expensive than the cost of the steel itself, and regular thieves wouldn't have the equipment or the money for this, say police. RPF have arrested eight people from Sagar and Jabalpur districts, but are no closer to cracking the riddle. RPF officer Rohit Chaturvedi, who is investigating the case, said 60% of the stolen rails have been recovered. ""I am not sure about the whereabouts of the mastermind, but our efforts are on to arrest him,"" said Chaturvedi. An RPF officer said they will approach Interpol to track down Shamim. ""It is not clear how they intended to use the rails. The accused sold them as scrap,"" said Chaturvedi. "
"Snatchers strike twice, victims battle injuries",9/3/2018,city,"CHANDIGARH: Continuing their terror, chain snatchers struck twice in a day in Chandigarh and left the victims with injuries on their neck. The two women –– Preeti Kaur and Basanti Devi –– were targeted by two motorcycle-borne men in Sector 44 and Daddumajra colony. The first incident was reported from Daddumajra at 11am when Preeti, an area resident, was returning from a market. Two men riding a black Pulsar targeted her from the rear and sped away after snatching her gold chain. Preeti got injuries on the neck. She said both the men had their faces covered and she was unable to note down the registration number of the bike. She raised an alarm attracting people’s attention. A passerby informed the police about the incident. Cops from Maloya police station reached the spot and laid a naka in the area to nab the accused. But by that time, they had fled the area. Police took her to GMSH-16 for first aid. On her statement, Maloya police registered a case against unknown persons and started a probe. The second snatching incident was reported at 11.55am from Sector 44, where miscreants targeted an elderly woman. Basanti Devi, 62, a resident of Sector 44, said she was standing with her grandson outside her house when two bikers came towards her and pillion rider snatched her gold chain weighing around 20g from her neck. During the snatching bid, Basanti Devi also got minor injuries on her neck. She raised an alarm and informed her family members, who informed the police about the snatching. Cops from Sector 34 police reached the spot and set up nakas in the area to catch the snatchers. But they had fled the area. Police also collected the CCTV footage from near the crime scene and got a clue about the miscreants. Police said both snatchings were carried out by the same criminals. Police have registered cases and started investigation. "
Exam stress proves fatal again,9/3/2018,city,"MOHALI: Just four days after a 17-year-old girl committed suicide ahead of her board exams, another student gave in to the exam stress and ended his life in Mohali on Wednesday, hours after appearing for his physics exam. The deceased, Karanbir Singh, a 17-year-old student of Class XII, was allegedly upset over his performance in the exam. Only son of his parents, Karanbir hanged himself with the ceiling fan at his grandparents’ house in phase IV, Mohali, in the evening. He was studying in Class XII non-medical through an open school and appeared for his board exam at Guru Nanak Public School in Sector 36 Chandigarh on Wednesday. Police handed over the body to the parents on Thursday after completing inquest proceedings under Section 174 of the CrPC. Karanbir was cremated at Mohali cremation ground. Inconsolable parents –– father Arvinder Singh and mother Inderpreet Kaur –– said Karanbir was very keen on pursuing engineering in the future. And he never showed any symptoms of depression or sadness in relation with his studies. Resident of phase VI in Mohali, Karanbir left a suicide note in which he has said “he alone is responsible for the step and does not blame anyone.” ASI Amarajit Singh, the investigating officer, said police found the suicide note from his pocket in which he also said that he did not do well in his physics board exam. “The boy believed that he had not done very well in the exam and this is why he possibly ended his life,” said the ASI. This is a second death in the Tricity since the board examination has started. Earlier on March 4, a Class X girl in Mullanpur ended her life by consuming poison as she did not want to continue with her studies. In the last five years, the Tricity and its surrounding areas have witnessed several deaths of students during exams or after their results were declared. Last year, a Class XII student had committed in Khuda Lahora after failing in exams. Box: Girl’s suicide March 4 | A Class X student, 17-year-old Preeti of Government Modal Senior Secondary School Dhanas, ended her life by consuming poison at her residence in Milk colony in Mullanpur. Preeti had committed suicide a day before her exams were to start. According to her parents, Preeti, who was a class monitor, was under a lot of stress as she didn’t want to continue with her studies. Box: Tall Toll March 2017 | Akash, 19, a Class XII student, committed suicide in Khuda Lahora. He was in depression after failing in exams May 2017 | Tonish Kumar, a PU student, committed suicide by jumping before the moving train at Baltana, Zirakpur. He was a resident of Sector 28, Chandigarh July 2017 | Indu, 21, ended her life at CRPF Camp in Hallo Majra as she was under stress after failing to clear a job interview March 2016 | Depressed over getting low marks in a revision exam, Harmanjot Singh, 15, a student of Class IX committed suicide at his house in Phase 10, Mohali. March 2012 | A 14-year-old girl student of Class VIII in a Chandigarh school committed suicide after her parents scolded her for not preparing for her exam "
"Farm body holds rally, reminds govt of debt waiver promise",9/3/2018,city,"BARNALA: In a bid to remind the Amarinder Singh government of its pre-poll promise of complete farm debt waiver, more than 20,000 activists of farmers’ organisation BKU (Ekta Ugrahan) on Thursday assembled at the grain market here. They organised ‘Lalkar’ rally to mark the completion of one year of the Congress rule in Punjab and warned the state government to implement its promise. In the next step of protests, the farmers announced to hold a massive rally by seven peasant outfits on April 3 in Chandigarh. They also accused the Narendra Modi-led NDA government of misleading farmers with claims of doubling their farm income and providing 50% profit over input costs. The farm leaders equated the Congress government in Punjab with the previous SAD-BJP regime in meting out injustice to farmers. They said earlier the Parkash Singh Badal government pushed the small and marginal farmers to the brink of committing suicides and toeing the same line, the current government was no better as it had dashed all hopes of farmers of getting a complete debt waiver. The farmers asked small peasants to be vigilant as their money in banks might not be safe, hinting at Nirav Modi. They said the banks might deduct funds from their accounts for frauds committed by certain corporates. President of BKU (Ekta Ugrahan) Joginder Singh Ugrahan and general secretary Sukhdev Singh Kokri said the Amarinder government had failed in keeping its word of waiving the farm debt. “We will not let this government befool farmers with lofty promises. Even the Union government is writing off loans of corporates worth lakhs of crores but have not kept even a penny for farm debt waiver,” they said. Kokri further said that Punjab farmers had nearly Rs 1 lakh crore debt whereas farmers across the nation have Rs 12 lakh crore amount pending against them. He said nearly 4 lakh farmers had committed suicides in India in the last 10 years whereas more than 20,000 peasants had ended lives in Punjab. "
Panjab University departments to get sanitary pad dispensers soon,9/3/2018,city,"CHANDIGARH: Soon, Panjab University (PU) is going to install sanitary pad dispensing machine along with incinerators in all its departments. Starting with the pilot project, now the university will install sanitary napkins vending machine at the girls’ hostel number 6 and 8, University Institute of Engineering and Technology (UIET) and University Institute of Legal Studies (UILS). The machine will dispense three sanitary napkins for Rs 10. A meeting was convened by the office of the dean student welfare on March 7 to install sanitary pad dispensing machines along with incinerators as a pilot project in various hostels and departments of PU. The process for the same was initiated by Panjab University Campus Student Council (PUCSC) secretary, Vani Sood in February after submitting a memorandum to the registrar, PU. “We have decided to install the machines in women’s hostel number 6 on the north campus and women’s hostel number 8 on the south campus, as well as south campus of UIET and UILS on north campus. We have taken the decision to promote sanitary hygiene. We already have MCM DAV College doing this and such machines are also there in DU for the convenience of women on the campus,” said Sood. “However, we have started this as a trial project. It will be initiated in the entire university once it turns out to be successful in these departments and hostels,” added Sood. "
Noisy motorcyclists going to hear it from high court,9/3/2018,city,"Chandigarh: The Punjab and Haryana high court has become strict against motorcycles that have modified silencers for backfire blast. It has asked police for the address, names, and other details of anyone caught driving these noise machines, so that they could be made party to a case. These directions came here on Thursday, based on a public-interest petition for the stricter implementation of a rule against modified motorcycles. The high court observed that a lesson would teach the offenders how to respect the rules. By the next hearing, it also wants the details of the mechanics who modify these motorcycles for the noise makers. The court has sought details of each traffic ticket issued on this count, and it has asked the Chandigarh Administration to continue catching the motorists who play loud music and blare horns. In an earlier hearing, the administration had submitted details of 315-odd traffic tickets issued this year for dead silencers and high-volume music players in the cabin. This data was recorded till February 15. The petitioner, a Chandigarh resident, had submitted in the high court that motorcyclists continued to even remove the silencers from their vehicles to produce a jarring boom that scares passers-by and creates noise pollution. The petitioner submitted the modified bikes also had pressure horns for a shrill alarm. The petitioner has sought directions to the UT Administration for preventive measures such as a public-awareness campaign on the rules about modified motorcycles. Many bikers are unaware that altering a factory model is illegal under the Motor Vehicles Act, 1988. "
"Mallya co to HC: Rs 12,400 crore assets can clear dues",9/3/2018,city,"BENGALURU: United Breweries Holdings (UBHL), the holding company of Vijay Mallya’s UB Group, on Thursday said before the Karnataka high court that the total value of its assets/shares exceeds Rs 12,400 crore at current market values and that can easily clear all outstanding dues, including the Rs 6,000-crore loans, with interest, owed by Kingfisher Airlines to its lenders. UBHL is the corporate guarantor for the loans raised by the now defunct airline. The court was told that the attachment of the company’s properties and shares by the ED had handicapped the company’s ability to come out with any proposal or additional deposits as directed by the court on an earlier occasion. A division bench headed by Chief Justice Dinesh Maheshwari adjourned the proceedings to April 2. During the hearing, senior counsel Sajan Povayya told the court that in January the total value of assets stood at Rs 13,400 crore, but owing to market fluctuations, their value has come down to Rs 12,400 crore. He said all the outstanding dues to the creditors would not go beyond Rs 10,000 crore. Senior counsel Udaya Holla, appearing in another appeal, said that the ED had attached everything. He further said that Rs 1,280 crore lying in deposit with the Karnataka HC had earned Rs 137 crore interest, taking the total to Rs 1,417 crore. However, the court noted that share price vale is too uncertain to be relied upon. It also said that any offer has to be satisfactory and the proposition concrete to proceed further. "
Govt will re-table agricultural land ceiling bill,9/3/2018,city,"GANDHINAGAR: The state government has decided to reintroduce the Gujarat Agricultural Lands Ceiling Bill in the state assembly, after the versions of the bill sent in 2015 and 2017 were rejected by the Centre, which required further changes. The bill has been widely opposed by the Congress, which also represented before the President of India in 2015, that the amendments brought in the bill defeated the purpose of the original Act of 1960. A source close to the development said, “The bill will be reintroduced in the ongoing budget session incorporating all changes suggested by the Centre. The Union government had pointed out clauses in the bill which were contradictory to other laws or ambiguous.” In its written memorandum in 2015 against the bill sent to the President of India, the Congress had stated that the main purpose of the Gujarat Agricultural Lands Ceiling Act of 1960 was to acquire surplus agricultural land and allot it to agricultural cooperative societies and the needy with first preference to cooperatives run by members of scheduled castes and scheduled tribes. The land was also to be acquired for government-owned or controlled corporations for full and efficient use of surplus agricultural land, or for landless labourers, small farmers, cattle breeders and others in need of land. The memorandum had read, “ Recently, after the judgment of the Supreme Court, the government is to receive surplus grassland worth crores of rupees. If these lands are given to landless persons, farm labourers and farmers’ families with small land holding in Gujarat, it would transform the needy class.” Congress stated further in the memorandum, “But, now the government of Gujarat is eyeing this land with corrupt and greedy intention, and hence, this Gujarat Agricultural Land Ceiling (Amendment) Bill, 2015 has been brought. With this amendment bill, the purpose of the original Act to protect the interests of the needy people is killed altogether.” No approval yet for GCTOC bill Government of India has yet not approved another controversial bill, the Gujarat Control of Terrorism and Organized Crime Bill, 2015 (GCTOC). The bill has been brought in multiple versions since 2003 but has been rejected. Gujarat government has also stopped following up for approval of the GCTOC. "
"No move on supply of canal water, residents set for water crisis",9/3/2018,city,"PATIALA: With summers set for a comeback, residents could face a major water crisis as the authorities of the Patiala Municipal Corporation (PMC) haven’t yet begun work on the ground to supply the canal water for drinking and domestic purposes. The PMC is yet to submit a proposal to the Bhakhra Main Line (BML) for the required supply under the ‘Canal based drinking water’ project in Patiala. The state government had already announced to provide canal water to the residents who have been surviving on underground water for many years for which water from tubewells is being provided to them. The officials of Municipal Corporation claimed to have submitted a proposal to the state government to provide around 60 cusecs of water from the canal that can cater to the residents. As per sources, the state government might provide this water to Patiala from the total share of the state. The proposal to allocate the water to Patiala needs approval from all the three states including Punjab, Haryana, and Rajasthan. The officials from all these three states need to hold a meeting and approve the allocated share of water. “We haven’t got any proposal from the officials of the Municipal Corporation yet. There are a number of hurdles to get the approved share of canal water for the city. Under the Bhakhra Main Line (BML), Punjab has 3108 cusecs of share and the water to Patiala will be allocated from this share. But the approval of all the three states is required,” said, executive engineer, Rakesh Sharma. The canal-based water treatment plant project was proposed by chief minister Amarinder Singh during his previous term. The CM after coming to power after ten years announced the revival of the project very soon for which funds were also allocated. Interestingly, the residents here do not get drinking water from canals despite the fact that the Bhakhra main line crosses through three different parts of the district including one from Nabha road, and others from Sangrur and Bhadso roads. The proposed canal-based water treatment plant worth Rs 45 crore will now cost Rs 250 crore approximately. The mega project was to be set up in two parts to supply treated canal water. Water was planned to be drawn from the Bhakra Main Line crossing that originates from the Nangal dam and passes from the boundaries of Patiala. Similarly, the second part of the project was proposed to be set up at Jassowal village, 7 km from Patiala, using around 30 acres of land. Now the project would cost Rs 708 crore under which the city will be divided into two categories with two zones each in Patiala 1 and Patiala 2. Already the Patiala district has a share of 35 cusecs water for irrigation and lake purposes. However, under the new canal water drinking project, 60 cusecs of water will be allocated separately. “The project will be made for 30 years and the water allocation will be done till 2045. The underground reservoirs will be constructed for which land is being identified. The proposal for allocation of water has been sent to the state government and as soon we get the nod the work will be started over this,” said, PMC superintendent M M Sial. "
"Aviation acrobatics hit air pocket, Wings India-18 stutters in takeoff",9/3/2018,city,"HYDERABAD: Sudden political twists and turns and the missing daredevil aerobatics display literally took the wind out of the biennial civil aviation show — WINGS INDIA 2018 — that stuttered to a start in the city on Thursday. And even rechristening the show as WINGS INDIA 2018 (formerly called INDIA AVIATION) did nothing to give itsecond wind. In fact, murmurs flew thick and fast about the event being merged with Aero India, the defence aviation show that Bengaluru hosts, in the future given its declining wow factor. Many participants grumbled that the show, which is being organised jointly by FICCI, ministry of civil aviation and Airports Authority of India, is going from bad to worse with each passing edition. This year’s event has been particularly bad with no aero display, very few aircraft adorning the static display area and the exhibition halls too sporting quite a few vacant stalls. “The event is lacklustre this year. We have been at the exhibition since morning and observed that the footfalls are very thin. Also, not too many operators appear to have flown in their aircrafts this time,” said the representative of a business aviation company. “The sentiments are very low even among participants. A lot of high-level meetings that were scheduled to take placewithcivil aviation minister AshokGajapathiRajuwere called off at the last minute after the TDP pulled out of NDA. That has upset many senior business associates who had come to the city only to attend those meetings,” said the spokesperson of an international aerospace major at theevent. A senior representative of an MNC aerospace manufacturing giant described the event as a “Sad Show”. “I doubt, if this will even continuein thecoming years. Aslong as it used to be a single event in Bengaluru, the crowd and response used to be amazing… but after the event was split between Bengaluru and Hyderabad, I felt it did lose some sheen. However, the past few editions have been good in Hyderabad. But this year, it looks like a major disappointment because of the last-minute resignation by the minister. Of all the days… the political drama had tounfoldtoday!” In Video:Aviation acrobatics hit air pocket, Wings India-18 stutters in takeoff"
29 naxals surrender in Chhattisgarh,9/3/2018,city,"RAIPUR: In a major success for Chhattisgarh police, 29 naxals, including 11 women, surrendered on Thusrday in insurgency-hit Sukma district. The 29 ultras, mostly lower-rung cadres, turned themselves in before Sukma Additional Superintendent of Police Shalabh Sinha citing disappointment with the ""hollow ideology"" of Maoists and violence, Sukma SP Abhishek Meena told . The ultras were accompanied by local villagers who expressed their anger against the ""anti-development and anti-tribal attitude of naxals"", he said. The surrendered Maoists were working for different sub-groups and frontal outfits of outlawed CPI (Maoist), including Jantana Sarkar (peoples government), jan militia, sangham member, in Konta area located in southern part of Sukma, the SP said. As per the policy of the Chhattisgarh government, necessary assistance will be provided to them, he added. "
